country,code,Age,Number_of_deaths,Continent
Somalia,SOM,50 to 69,11435,Africa
South Africa,ZAF,50 to 69,799418,Africa
South Korea,KOR,50 to 69,1198,Asia
South Sudan,SSD,50 to 69,14908,Africa
Spain,ESP,50 to 69,7934,Europe
Sri Lanka,LKA,50 to 69,409,Asia
Sudan,SDN,50 to 69,12802,Africa
Suriname,SUR,50 to 69,577,South America
Sweden,SWE,50 to 69,462,Europe
Switzerland,CHE,50 to 69,606,Europe
Syria,SYR,50 to 69,44,Asia
Tajikistan,TJK,50 to 69,397,Asia
Tanzania,TZA,50 to 69,352606,Africa
Thailand,THA,50 to 69,133725,Asia
Timor-Leste,TLS,50 to 69,1315,Asia
Togo,TGO,50 to 69,25081,Africa
Tonga,TON,50 to 69,0,Oceania
Trinidad and Tobago,TTO,50 to 69,1620,North America
Tunisia,TUN,50 to 69,459,Africa
Turkey,TUR,50 to 69,690,Asia
Turkmenistan,TKM,50 to 69,122,Asia
Tuvalu,TUV,50 to 69,0,Oceania
Uganda,UGA,50 to 69,253348,Africa
Ukraine,UKR,50 to 69,19088,Europe
United Arab Emirates,ARE,50 to 69,205,Asia
United Kingdom,GBR,50 to 69,2852,Europe
United States of America,USA,50 to 69,123470,North America
Uruguay,URY,50 to 69,1130,South America
Uzbekistan,UZB,50 to 69,968,Asia
Vanuatu,VUT,50 to 69,42,Oceania
Venezuela,VEN,50 to 69,7815,South America
Vietnam,VNM,50 to 69,7732,Asia
Yemen,YEM,50 to 69,774,Asia
Zambia,ZMB,50 to 69,135283,Africa
